StoreID,1/3/16,1/10/16,1/17/16,1/24/16,1/31/16,2/7/16,2/14/16,2/21/16,2/28/16,3/6/16,3/13/16,3/20/16,3/27/16,4/3/16,4/10/16,4/17/16,4/24/16,5/1/16,5/8/16,5/15/16,5/22/16,5/29/16,6/5/16,6/12/16,6/19/16,6/26/16,7/3/16,7/10/16,7/17/16,7/24/16,7/31/16,8/7/16,8/14/16,8/21/16,8/28/16,9/4/16,9/11/16,9/18/16,9/25/16,10/2/16,10/9/16,10/16/16,10/23/16,10/30/16,11/6/16,11/13/16,11/20/16,11/27/16,12/4/16,12/11/16,12/18/16,12/25/16
12,12389.3,9190.0,12013.3,10204.2,11574.7,15355.1,11848.8,11514.4,10038.6,12000.1,10379.6,14719.2,9750.3,8678.0,11448.0,8654.0,8676.0,11386.0,8928.0,10981.0,11626.0,11154.0,9299.0,9120.0,11842.0,12735.0,12423.0,9333.0,10442.0,9230.0,9862.0,8795.0,10978.0,10749.0,9194.0,9664.0,9491.0,10840.0,9652.0,9890.0,12253.0,9807.0,9563.0,9528.0,13377.0,10213.0,15368.0,10053.0,14872.0,13959.0,18440.0,13258.0
13,10585.8,12204.6,12041.9,13479.7,11655.3,14623.5,10215.3,13154.5,11680.1,11731.8,12589.1,11431.3,12866.9,10028.0,9945.0,11506.0,11633.0,11291.0,9984.0,12635.0,12565.0,9633.0,13012.0,11523.0,11867.0,12326.0,11120.0,12705.0,10684.0,8997.0,11580.0,10402.0,13674.0,9826.0,12527.0,11881.0,13187.0,11299.0,13834.0,14720.0,14418.0,13327.0,12515.0,10994.0,14599.0,14752.0,13308.0,11995.0,16370.0,19842.0,18343.0,15206.0
14,6104.4,6348.9,6152.9,7237.4,6299.4,7036.0,6360.8,7641.3,6962.8,6291.8,8566.5,6799.1,6104.4,5583.0,5641.0,7219.0,7261.0,8414.0,6512.0,5302.0,5860.0,5974.0,5553.0,6305.0,6803.0,5931.0,5825.0,5453.0,5159.0,7321.0,6868.0,7136.0,7363.0,7188.0,7705.0,6387.0,5688.0,6453.0,5705.0,7426.0,7960.0,8301.0,8026.0,7220.0,7300.0,6950.0,9696.0,8503.0,7216.0,11629.0,9218.0,8230.0
15,12157.2,10118.4,10514.8,10051.6,11956.9,15917.0,9556.2,12692.4,9901.9,13299.9,12478.1,10054.9,11579.9,12552.0,9701.0,12400.0,10825.0,9707.0,9588.0,11848.0,10023.0,12415.0,12817.0,11631.0,8231.0,11106.0,9622.0,11507.0,10525.0,11409.0,12144.0,9326.0,8908.0,11667.0,11270.0,10869.0,12111.0,13149.0,12062.0,12885.0,11011.0,9837.0,11962.0,12195.0,11397.0,11891.0,16529.0,13501.0,12902.0,17940.0,19567.0,13817.0
16,5295.2,6909.6,6574.8,5788.0,5496.3,7209.0,7228.9,6689.7,5522.8,5685.2,5340.5,7973.7,6497.4,4939.0,6371.0,6495.0,5993.0,7090.0,5791.0,6732.0,5759.0,5979.0,5637.0,5973.0,5867.0,6989.0,6472.0,5381.0,6463.0,5009.0,6810.0,6965.0,6530.0,6527.0,6098.0,6824.0,5844.0,5859.0,6351.0,6741.0,6461.0,7078.0,7389.0,6367.0,6198.0,6781.0,7752.0,5771.0,6029.0,8920.0,8396.0,6468.0
17,5329.4,5426.7,5558.2,6085.2,5426.7,7578.1,6520.6,7062.1,6130.5,5615.6,6687.5,6413.4,7072.0,6040.0,5161.0,4979.0,5208.0,5601.0,4759.0,4803.0,6113.0,5592.0,5355.0,5839.0,4936.0,5211.0,4392.0,4706.0,5495.0,5075.0,5860.0,6511.0,5242.0,6838.0,6828.0,5091.0,5524.0,5271.0,5111.0,5541.0,7061.0,5053.0,4839.0,6715.0,5388.0,7855.0,8760.0,5123.0,6076.0,7973.0,9192.0,7401.0
18,6682.8,5709.2,5579.9,6036.6,5646.7,8666.6,7052.2,6403.8,8035.5,6945.6,6832.5,8109.8,7708.1,5603.0,5473.0,5505.0,5960.0,6343.0,6527.0,6337.0,5303.0,5587.0,7148.0,5340.0,5867.0,6404.0,6010.0,7199.0,7105.0,7363.0,5752.0,5905.0,7425.0,6567.0,6396.0,5779.0,6043.0,5368.0,8235.0,5836.0,7948.0,7808.0,7911.0,6264.0,8462.0,8899.0,8174.0,7653.0,7037.0,10000.0,9524.0,8366.0
19,9679.8,8177.0,10877.6,10516.3,11697.5,11030.1,8443.3,10026.8,12394.8,11547.3,11792.6,11991.5,10462.1,8982.0,8905.0,11082.0,8226.0,9475.0,7505.0,8586.0,7619.0,11172.0,11330.0,7503.0,7388.0,12342.0,10416.0,10176.0,10316.0,8860.0,9166.0,9940.0,9048.0,9710.0,11402.0,8077.0,8920.0,9107.0,10984.0,11511.0,8623.0,8834.0,11135.0,10266.0,12711.0,9622.0,13464.0,12305.0,11177.0,17404.0,15545.0,14716.0
20,5701.6,5503.5,4915.4,6050.6,7187.9,7163.1,5504.5,6816.3,5256.8,5621.9,6207.8,7434.5,6441.5,5905.0,5445.0,6843.0,6346.0,7610.0,6550.0,6270.0,6187.0,6412.0,6479.0,6152.0,5692.0,5694.0,6317.0,5859.0,6834.0,4993.0,6690.0,6155.0,5102.0,5841.0,5727.0,6015.0,5922.0,5297.0,5743.0,6352.0,6306.0,6737.0,7080.0,5701.0,5650.0,6613.0,8979.0,6129.0,6990.0,9719.0,8442.0,8227.0
21,8344.0,10650.2,10209.8,9972.2,7982.0,9394.0,7742.2,10008.1,9196.8,8959.2,9806.4,8546.8,8138.9,8353.0,9255.0,8422.0,9762.0,8657.0,8963.0,9690.0,9223.0,7142.0,7731.0,9683.0,9852.0,9309.0,9857.0,7115.0,9426.0,9274.0,10132.0,9186.0,7952.0,10772.0,9310.0,8940.0,10805.0,7679.0,8065.0,10038.0,9193.0,7894.0,8043.0,8207.0,9592.0,8480.0,13207.0,9194.0,10518.0,11984.0,13804.0,10147.0
22,8915.4,8462.0,6902.5,8065.7,8380.1,10761.4,10724.8,10509.4,9698.4,10154.0,10572.9,8856.2,9730.7,8656.0,8615.0,8420.0,6971.0,10154.0,7799.0,8836.0,9927.0,6974.0,9408.0,8256.0,7414.0,11297.0,9377.0,8757.0,7875.0,8047.0,9312.0,8667.0,7562.0,8748.0,10044.0,7442.0,10475.0,10683.0,8385.0,7944.0,8852.0,10098.0,10264.0,8678.0,11673.0,11542.0,14581.0,9153.0,11259.0,10905.0,11679.0,12654.0
23,9222.4,9961.2,11676.8,13486.2,8878.8,13752.2,10653.7,11574.5,12831.4,10667.7,9673.6,11691.9,9144.8,9699.0,8491.0,12581.0,9508.0,11601.0,11347.0,11657.0,10263.0,9524.0,9545.0,8203.0,10515.0,12621.0,8339.0,9724.0,11992.0,10203.0,12959.0,9001.0,10758.0,9225.0,10892.0,11293.0,9979.0,12447.0,9663.0,11486.0,9195.0,10739.0,12131.0,10610.0,9880.0,13864.0,12416.0,10787.0,14363.0,18932.0,17856.0,11896.0
24,9434.5,9031.2,9943.9,9743.9,9608.0,14476.6,10794.7,11927.4,11427.9,9525.1,11203.6,10420.2,13024.6,10684.0,12308.0,9960.0,11393.0,11335.0,10338.0,8866.0,11726.0,9070.0,13434.0,9723.0,11989.0,12474.0,10892.0,10243.0,9760.0,12082.0,11897.0,10258.0,12131.0,12808.0,9424.0,9149.0,12829.0,10852.0,9930.0,13128.0,12283.0,9497.0,11674.0,13746.0,13153.0,13467.0,17399.0,13389.0,11178.0,14174.0,16489.0,15151.0
25,9544.4,7845.9,9868.6,9648.8,10555.7,11831.9,11102.8,8370.4,8810.9,9805.0,8025.8,10644.0,9711.3,8221.0,8840.0,10485.0,8713.0,11471.0,8658.0,7756.0,7578.0,10232.0,8076.0,9898.0,9577.0,11740.0,7828.0,10355.0,9945.0,10260.0,10847.0,8907.0,9369.0,10526.0,8188.0,9337.0,10108.0,7987.0,9552.0,9504.0,8328.0,10551.0,10165.0,8923.0,11878.0,13009.0,11692.0,11562.0,12550.0,12301.0,16072.0,11899.0
26,11024.2,11463.6,9681.2,11255.7,11502.4,11882.5,9535.8,13849.1,10392.0,13304.2,12337.0,11274.0,10762.5,12274.0,9630.0,9166.0,9312.0,11317.0,10539.0,12325.0,9050.0,11516.0,10969.0,9830.0,8329.0,12114.0,12759.0,11813.0,9347.0,9233.0,11439.0,13482.0,9163.0,14110.0,12199.0,9177.0,12270.0,11669.0,14134.0,12199.0,10850.0,12864.0,13102.0,10150.0,14487.0,11708.0,14332.0,9740.0,12739.0,16123.0,21171.0,14368.0
27,4495.4,6326.3,5234.2,5319.3,5167.4,7912.7,5880.4,5203.0,5401.2,4791.6,4861.6,7058.7,4800.2,4428.0,4731.0,5485.0,4837.0,6806.0,5365.0,4851.0,6162.0,4647.0,5390.0,4274.0,4985.0,4877.0,5944.0,6125.0,5158.0,4810.0,5581.0,4944.0,4985.0,4687.0,4709.0,6511.0,5876.0,6278.0,6046.0,5561.0,5054.0,5957.0,5805.0,6373.0,4940.0,5913.0,7792.0,5227.0,6910.0,9276.0,10211.0,6201.0
28,8539.5,8399.5,8641.8,8926.2,10759.2,13835.1,8722.6,9376.4,10441.5,11099.6,10560.0,9134.0,9651.0,10352.0,9624.0,9474.0,9028.0,9803.0,9852.0,7679.0,7202.0,7156.0,8922.0,7465.0,8119.0,9269.0,7688.0,9347.0,10453.0,7859.0,10699.0,8268.0,9305.0,9196.0,9087.0,7610.0,11061.0,11210.0,11676.0,9010.0,9402.0,9508.0,9436.0,10544.0,11524.0,12778.0,15032.0,11368.0,13153.0,16248.0,17104.0,10791.0
29,10917.5,9891.2,9009.1,12640.7,10584.8,10934.8,9964.4,9829.8,10366.1,9467.9,10474.9,13213.7,8913.3,8358.0,9849.0,9339.0,12090.0,12644.0,11465.0,10647.0,9495.0,8428.0,11629.0,7935.0,8567.0,12609.0,9672.0,11847.0,10311.0,9751.0,9840.0,10311.0,9449.0,9109.0,10426.0,11131.0,10329.0,8499.0,12935.0,11080.0,10922.0,11903.0,12304.0,13079.0,10567.0,11741.0,14052.0,9423.0,10134.0,16157.0,13825.0,13982.0
30,8956.3,7700.6,8866.9,11466.8,8723.7,13554.0,11415.1,10963.9,11069.4,10647.2,8319.8,10007.5,9568.1,8505.0,8646.0,8010.0,10496.0,9727.0,9288.0,8354.0,9030.0,9110.0,8934.0,7663.0,8872.0,11051.0,7644.0,10499.0,8453.0,8869.0,9370.0,10380.0,7981.0,9672.0,11020.0,7628.0,10661.0,10749.0,8046.0,10598.0,8477.0,9639.0,8638.0,8802.0,10397.0,10305.0,11074.0,10871.0,11540.0,16327.0,17619.0,13249.0
31,13746.4,16003.3,15290.6,16962.5,15285.0,19991.5,16345.1,17090.3,15856.5,13188.3,14131.9,17126.1,14576.8,16100.0,13737.0,12623.0,14522.0,15792.0,14260.0,16410.0,11859.0,13075.0,16472.0,12510.0,12993.0,16874.0,11807.0,13086.0,15049.0,11851.0,12943.0,15067.0,14194.0,14241.0,17239.0,15504.0,14514.0,13746.0,17416.0,15150.0,14856.0,14709.0,12465.0,17378.0,18091.0,13647.0,19067.0,17462.0,13785.0,22451.0,23218.0,19665.0
32,9503.4,13087.7,12663.4,14396.3,10150.7,15158.8,11348.3,11815.8,12739.8,13644.5,13551.9,11025.2,14624.6,11544.0,10142.0,10463.0,11860.0,15111.0,12937.0,9727.0,9960.0,9076.0,9998.0,8665.0,12699.0,11723.0,12758.0,11250.0,10650.0,12892.0,12570.0,12314.0,9999.0,10453.0,13208.0,13892.0,13711.0,13938.0,11514.0,12755.0,14738.0,12210.0,11145.0,14817.0,11845.0,16166.0,14144.0,12510.0,15115.0,20286.0,17623.0,17012.0
33,7459.3,7568.1,9051.1,8767.9,9446.4,9017.7,10553.5,8098.0,10718.3,9368.8,10524.4,9530.4,8078.6,7801.0,7281.0,8811.0,7192.0,8526.0,8908.0,7902.0,9123.0,6720.0,7373.0,7910.0,9128.0,8910.0,7477.0,9589.0,9457.0,8524.0,9359.0,8678.0,8989.0,10031.0,8305.0,9610.0,8319.0,9073.0,10269.0,9500.0,8314.0,9376.0,8252.0,10600.0,8912.0,10550.0,11222.0,9342.0,12205.0,11031.0,16307.0,11770.0
34,8624.6,8366.1,8998.3,7959.0,8268.1,11819.0,8683.9,8042.0,9362.4,9363.4,7407.6,8397.4,8666.6,6326.0,9375.0,8203.0,6443.0,7687.0,7065.0,6425.0,7960.0,9003.0,7934.0,8375.0,7733.0,8881.0,8778.0,6811.0,6929.0,9128.0,7126.0,8551.0,7583.0,8743.0,9894.0,6762.0,9540.0,9323.0,9950.0,9456.0,9248.0,7178.0,10027.0,6952.0,7709.0,7932.0,11691.0,10245.0,10361.0,10541.0,11020.0,9895.0
35,2924.1,3392.6,2865.9,3438.9,3367.8,3321.5,3390.4,3186.8,2643.0,3032.8,2717.3,2700.0,2881.0,3264.0,3093.0,2809.0,2980.0,2813.0,2749.0,2422.0,2896.0,3227.0,3439.0,2273.0,2417.0,2731.0,2505.0,3058.0,2361.0,3018.0,3327.0,2937.0,2591.0,2821.0,2515.0,2851.0,3467.0,3110.0,2522.0,3224.0,3274.0,2508.0,3194.0,3325.0,3045.0,2895.0,3924.0,3704.0,3369.0,3834.0,4893.0,3676.0
36,15132.9,13571.3,13613.3,17900.8,11965.5,15000.5,14565.3,12708.6,16121.6,16877.7,14883.1,14641.8,16502.9,14937.0,13638.0,12936.0,12193.0,15962.0,13493.0,11928.0,15924.0,14204.0,14362.0,13534.0,13867.0,16786.0,12555.0,14661.0,16266.0,14798.0,13280.0,11695.0,17122.0,12834.0,16872.0,15654.0,14401.0,14256.0,14204.0,16949.0,12709.0,12390.0,17406.0,14723.0,14128.0,17028.0,23309.0,13843.0,17141.0,23417.0,18696.0,20273.0
37,8346.8,8715.1,7894.4,11953.6,9723.2,12233.6,8933.7,12623.5,12054.9,9428.1,12938.0,10774.3,8827.1,11366.0,9516.0,10547.0,11108.0,10335.0,9773.0,8327.0,8440.0,11122.0,11410.0,10799.0,8728.0,10457.0,10770.0,10182.0,8314.0,9086.0,11428.0,12246.0,11373.0,11146.0,9374.0,10665.0,11725.0,8642.0,11347.0,10895.0,10705.0,12379.0,11219.0,9892.0,13502.0,11492.0,14329.0,8858.0,11359.0,18280.0,13256.0,14451.0
38,12782.9,13759.8,14275.6,16146.4,13158.8,17446.3,15239.6,12155.0,11456.0,14614.9,12226.1,15378.5,15379.6,10980.0,10378.0,10356.0,13887.0,14080.0,10132.0,14952.0,14269.0,13807.0,14691.0,10587.0,12693.0,16370.0,13844.0,11778.0,15005.0,13136.0,11179.0,12021.0,15796.0,11239.0,14902.0,15222.0,15553.0,11830.0,13400.0,14365.0,12127.0,12751.0,12966.0,11758.0,13542.0,13082.0,16821.0,12174.0,18282.0,23872.0,20120.0,18458.0
39,3542.3,4152.9,3520.7,4918.7,4356.5,5139.4,3760.9,4513.7,4344.6,3802.9,5404.4,4788.3,4817.4,4400.0,4843.0,3638.0,5005.0,4926.0,4197.0,4376.0,4567.0,3691.0,5155.0,3868.0,3915.0,5270.0,4098.0,3644.0,4912.0,3434.0,5071.0,5096.0,3540.0,4635.0,4246.0,3603.0,5197.0,5018.0,5243.0,5096.0,5010.0,5396.0,4471.0,3943.0,4789.0,4519.0,5121.0,4522.0,4411.0,7375.0,6712.0,6023.0
40,5628.4,4444.8,5437.8,5698.4,5714.6,8029.0,4580.5,6117.4,5913.8,5032.8,6731.3,6057.0,6794.8,6005.0,6351.0,5116.0,4750.0,6706.0,5816.0,4560.0,5683.0,6037.0,6412.0,4113.0,4894.0,5706.0,4298.0,4504.0,4424.0,4882.0,4463.0,6190.0,5664.0,5985.0,5730.0,6332.0,4891.0,5794.0,6578.0,6797.0,6843.0,4992.0,5431.0,6202.0,6702.0,6287.0,7748.0,6668.0,7372.0,8809.0,7070.0,7705.0
41,6061.4,8548.1,7361.3,9212.7,9126.5,9697.3,6662.3,8394.1,8462.0,9380.7,7397.9,8448.0,8987.6,6552.0,8436.0,7783.0,6354.0,7302.0,6137.0,6324.0,7963.0,6908.0,8077.0,8664.0,7846.0,8443.0,8006.0,7464.0,8641.0,7220.0,8662.0,6612.0,9461.0,8379.0,8304.0,8906.0,9518.0,6963.0,9149.0,9455.0,7090.0,7682.0,8713.0,8499.0,9537.0,8706.0,12807.0,10009.0,7463.0,11189.0,10999.0,9447.0
42,16055.9,13135.1,15279.4,17570.2,11458.2,17687.6,16018.2,13159.9,11850.2,12990.8,17392.5,17134.0,13247.1,13251.0,14842.0,15658.0,16317.0,15214.0,13202.0,14265.0,13912.0,12242.0,16509.0,12167.0,15355.0,15887.0,13599.0,16223.0,15878.0,13965.0,16910.0,13639.0,15878.0,15470.0,16468.0,14418.0,11604.0,12552.0,16247.0,15869.0,14856.0,14477.0,12457.0,15257.0,12584.0,19904.0,22316.0,16602.0,18532.0,20104.0,21458.0,16633.0
43,8325.2,7752.2,8332.7,10468.4,10815.2,12497.5,8966.0,9984.9,9583.1,11391.4,11101.7,9812.5,11085.6,8391.0,10047.0,9256.0,10617.0,10796.0,9664.0,10166.0,10121.0,7792.0,9202.0,9945.0,9966.0,10398.0,8232.0,10542.0,9515.0,9723.0,7652.0,8322.0,7468.0,10844.0,11055.0,9977.0,10798.0,7584.0,9909.0,9966.0,9780.0,8208.0,7986.0,8514.0,11095.0,9107.0,15412.0,8207.0,8928.0,15235.0,17617.0,11233.0
44,12449.0,17104.9,12074.2,14708.6,15611.1,21402.1,17523.9,13218.0,14968.1,17462.5,16893.8,18447.9,16760.3,17410.0,11923.0,14625.0,16925.0,14231.0,12753.0,17778.0,16527.0,12376.0,15760.0,11946.0,14344.0,18604.0,15232.0,14930.0,15763.0,13113.0,16921.0,16125.0,12466.0,13518.0,16438.0,15773.0,13921.0,14373.0,13821.0,18316.0,18552.0,15152.0,14305.0,16959.0,15724.0,14761.0,23931.0,17405.0,19150.0,19872.0,24219.0,20220.0
45,7552.8,10802.4,9722.1,10372.9,7994.4,11454.3,10801.3,10478.1,10430.5,9581.6,8550.0,11563.8,10471.4,9404.0,8967.0,10015.0,7507.0,11791.0,8654.0,10290.0,7661.0,8232.0,9180.0,7322.0,8065.0,10434.0,9450.0,10653.0,8673.0,7433.0,10993.0,10541.0,10925.0,7963.0,8798.0,8320.0,11240.0,11103.0,8363.0,8457.0,9320.0,9727.0,11632.0,10773.0,8580.0,9767.0,13661.0,11854.0,10474.0,13778.0,15280.0,10320.0
46,5336.5,4923.0,4579.4,6021.5,5941.8,5306.4,6361.8,4504.0,5094.2,4963.9,5389.3,6762.5,5592.9,4932.0,5429.0,5891.0,5268.0,6268.0,5456.0,5753.0,4770.0,4376.0,5390.0,5627.0,4650.0,5180.0,4986.0,4648.0,4892.0,5813.0,4285.0,5350.0,4692.0,4736.0,5260.0,5089.0,5321.0,4406.0,5128.0,4498.0,4962.0,6050.0,5364.0,6406.0,4924.0,6502.0,7530.0,6338.0,6093.0,8977.0,8020.0,6083.0
47,11515.3,9591.8,8743.1,12299.3,11326.8,11680.1,12578.3,11362.4,10824.9,12646.1,13055.4,9745.8,9766.2,8465.0,10734.0,10420.0,11575.0,13611.0,11614.0,11350.0,11628.0,10374.0,11658.0,9321.0,11197.0,9861.0,10749.0,10969.0,9712.0,10057.0,11952.0,9839.0,11301.0,11542.0,10997.0,8645.0,12355.0,11296.0,10101.0,9724.0,9663.0,9845.0,9661.0,10112.0,10341.0,10836.0,15072.0,12146.0,13426.0,13362.0,14146.0,15010.0
48,7402.2,8005.3,9100.7,8548.1,8830.3,10938.0,6900.3,9056.5,7371.0,10126.0,8092.6,9324.7,8147.5,9214.0,8435.0,7678.0,9036.0,10584.0,6384.0,7964.0,8217.0,8977.0,7166.0,8274.0,6353.0,9523.0,7191.0,6839.0,8079.0,6406.0,7944.0,8908.0,7553.0,8309.0,8942.0,8296.0,7571.0,9111.0,8811.0,9497.0,8264.0,9839.0,8512.0,8578.0,8533.0,9652.0,12552.0,7223.0,9006.0,10163.0,13333.0,9884.0
49,7355.9,6570.8,8065.7,9982.7,8595.5,9912.7,9221.3,8023.7,9617.6,9071.6,8725.9,8118.4,8651.5,6962.0,7103.0,7802.0,9509.0,7545.0,6461.0,9238.0,9113.0,7622.0,10116.0,7178.0,8431.0,7273.0,9311.0,7844.0,6793.0,6604.0,9830.0,7331.0,8960.0,7323.0,10471.0,8457.0,7326.0,9108.0,7856.0,9582.0,7949.0,8891.0,8821.0,9890.0,7843.0,8327.0,11657.0,9967.0,8750.0,11590.0,12400.0,11685.0
50,5766.0,5706.8,6694.6,6329.5,7128.8,6900.7,8220.8,7885.3,7464.3,7840.4,7822.8,6863.5,7314.1,6329.0,6728.0,5281.0,5210.0,6601.0,7229.0,5724.0,7140.0,5342.0,7719.0,5258.0,5059.0,8187.0,5437.0,7063.0,6922.0,6456.0,5499.0,7829.0,7890.0,6410.0,7252.0,6943.0,5602.0,7889.0,7755.0,8087.0,7412.0,7122.0,6020.0,8347.0,7773.0,7590.0,10883.0,8039.0,8916.0,10220.0,8942.0,8794.0
51,10262.7,8871.2,10725.8,13836.2,12592.3,11872.8,12061.3,11556.2,12431.8,10348.9,9978.4,14409.2,12113.0,9108.0,8703.0,12279.0,9685.0,10783.0,12181.0,11694.0,11556.0,10418.0,13638.0,8965.0,10468.0,9824.0,9712.0,10570.0,11838.0,12780.0,12578.0,9041.0,9320.0,9756.0,9770.0,11642.0,13007.0,10101.0,11079.0,9804.0,13764.0,10754.0,12051.0,10030.0,11141.0,12759.0,16522.0,12558.0,15051.0,16819.0,15971.0,12674.0
